title,mDeBERTa-v3_politik_confidence,mDeBERTa-v3_is_politics
US-Politiker von Probealarm überrascht: »Bist du fertig? Nein!« | DER SPIEGEL,0.9932156205177308,1
"Kampf gegen Putins Invasionsarmee: Was, wenn die westliche Hilfe ausbleibt?  | DER SPIEGEL",0.913945734500885,1
Ukraine: Gibt es eine Strategie für Frieden? Wolfgang Ischinger und Egon Ramms im SPIEGEL-Talk,0.8746137022972107,1
Migranten an der Grenze USA-Mexiko: »Man kann das alles übers Internet buchen« | DER SPIEGEL,0.4472188651561737,0
Kevin McCarthy abgewählt: Putsch in den Stillstand | DER SPIEGEL,0.9752018451690674,1
Illegale Migration in Bayern: So läuft die Jagd auf Schleuser | DER SPIEGEL,0.581303060054779,1
Der Absturz-Minister: Urteil gegen Günther Krause | SPIEGEL TV,0.9938310384750366,1
"Touristen-Selfies in US-Nationalparks: Was tun, wenn man einen Bison oder Bären trifft?",0.0131086334586143,0
Söder kocht Gulasch und Aiwanger macht Stimmung | SPIEGEL TV,0.9927108883857728,1
Tradingplattform-Gründer vor Gericht: So flog das Kryptoimperium von Sam Bankman-Fried in die Luft,0.010808004066348,0
"Rolling Stones - Exklusivinterview: »Es ist, als hätte ich mir meinen Job erträumt« | DER SPIEGEL",0.5679365992546082,1
Flüchtlingsunterkunft auf Schulgelände: »Eltern sind vielleicht nicht happy darüber« | DER SPIEGEL,0.0770302340388298,0
»The Sphere« in Las Vegas: »Jedem fiel die Kinnlade herunter« | DER SPIEGEL,0.5851011276245117,1
Türkische Regierung spricht von »Terror«: Anschlag im Herzen der Hauptstadt | DER SPIEGEL,0.7322090268135071,1
TikTok-Trend Lachgas: Wie gefährlich ist die Partydroge aus dem Luftballon? | DER SPIEGEL,0.0152916433289647,0
Einsatz gegen Fahrradklau: Wohin verschwinden unsere Räder? (SPIEGEL TV für ARTE Re:),0.2535836696624756,0
Aus für die Systemsprenger?  Wie ein Heimleiter für gescheiterte Jugendliche kämpft | SPIEGEL TV,0.4899915754795074,0
