run_id,job_id,status,prompt_id,prompt_number,prompt_version,model,thinking_budget,dataset_id,dataset_version,target_variable,validation_basis,created_at,updated_at,results_path,notes
run_0001,projects/921222602739/locations/us-central1/batchPredictionJobs/1532051539273711616,error,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_001_title,v1,politics_title,screening_state,2026-08-04T18:25:28,2026-08-11T09:06:39,,
run_0002,projects/921222602739/locations/us-central1/batchPredictionJobs/7228367295595151360,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_001_title,v1,politics_title,screening_state,2026-08-11T09:25:30,2026-08-12T08:13:40,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0002.csv,
run_0003,projects/921222602739/locations/us-central1/batchPredictionJobs/5508388062125621248,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_001_title_retry,v1,politics_title,screening_state,2026-08-12T08:36:42,2026-08-13T09:13:11,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0003.csv,
run_0004,projects/921222602739/locations/us-central1/batchPredictionJobs/1698716611323625472,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_001_description,v1,politics_title_desc,screening_state,2026-08-13T09:53:58,2026-08-13T10:57:15,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0004.csv,
run_0005,projects/921222602739/locations/us-central1/batchPredictionJobs/1152232944039886848,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_002_title,v1,politics_title,screening_state,2026-08-13T11:07:01,2026-08-13T15:14:21,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0005.csv,
run_0006,projects/921222602739/locations/us-central1/batchPredictionJobs/5803782856043921408,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_002_description,v1,politics_title_desc,screening_state,2026-08-13T15:24:15,2026-08-13T16:26:06,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0006.csv,
run_0007,projects/921222602739/locations/us-central1/batchPredictionJobs/1216908417008926720,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_002_description_retry_of_run_0006,v1,politics_title_desc,screening_state,2026-08-14T16:30:27,2026-08-14T16:50:31,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0007.csv,
run_0008,projects/921222602739/locations/us-central1/batchPredictionJobs/5367397686095904768,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_003_title,v1,politics_title,screening_state,2026-08-14T17:06:20,2026-08-14T20:20:20,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0008.csv,
run_0009,projects/921222602739/locations/us-central1/batchPredictionJobs/4122609785965117440,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,politics_screening_round_003_description,v1,politics_title_desc,screening_state,2026-08-14T20:24:20,2026-08-14T22:26:49,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\description_classification\run_0009.csv,
run_0010,projects/921222602739/locations/us-central1/batchPredictionJobs/5251792147333513216,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_004_title,v1,politics_title,screening_state,2026-08-27T17:58:07,2026-08-27T18:27:57,C:\Users\bened\PycharmProjects\youtube_data\outputs\llm\longitudinal\title_classification\run_0010.csv,
