run_id,job_id,status,prompt_id,prompt_number,prompt_version,model,thinking_budget,dataset_id,dataset_version,target_variable,validation_basis,created_at,updated_at,results_path,notes
run_0001,projects/921222602739/locations/us-central1/batchPredictionJobs/3114125076585250816,validation_failed,PROMPT_31,31,v1,gemini-2.5-flash,0,description_training_sample_42,v1,politics_title,manual,2026-07-22T12:33:03,2026-07-22T13:20:38,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0001.csv,
run_0002,projects/921222602739/locations/us-central1/batchPredictionJobs/9132552659868319744,validation_failed,PROMPT_31,31,v1,gemini-2.5-flash,0,description_training_sample_42,v1,politics_title,manual,2026-07-22T13:29:35,2026-07-22T13:32:08,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0002.csv,
run_0003,projects/921222602739/locations/us-central1/batchPredictionJobs/5192465935872557056,downloaded,PROMPT_31,31,v1,gemini-2.5-flash,0,description_training_sample_42,v1,politics_title,manual,2026-07-22T13:45:55,2026-07-22T15:00:24,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0003_complete.csv,
run_0004,projects/921222602739/locations/us-central1/batchPredictionJobs/6783503241729540096,downloaded,PROMPT_31,31,v1,gemini-2.5-flash,0,run_0003_retry,v1,politics_title,manual,2026-07-22T14:45:33,2026-07-22T14:56:05,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0004.csv,
run_0005,projects/921222602739/locations/us-central1/batchPredictionJobs/3131752447001755648,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,description_training_sample_42,v1,politics_title,manual,2026-07-22T15:49:15,2026-07-24T11:08:13,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0005.csv,
run_0006,projects/921222602739/locations/us-central1/batchPredictionJobs/5885703619138813952,downloaded,PROMPT_31,31,v1,gemini-2.5-flash,0,description_training_sample_42,v1,politics_title,manual,2026-07-22T15:49:44,2026-07-24T11:08:14,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0006.csv,
run_0007,projects/921222602739/locations/us-central1/batchPredictionJobs/4711612117650767872,downloaded,PROMPT_31,31,v1,gemini-2.5-flash,0,description_training_sample_41,v1,politics_title,manual,2026-07-24T13:02:45,2026-07-24T13:05:50,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0007.csv,
run_0008,projects/921222602739/locations/us-central1/batchPredictionJobs/6123842444552306688,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,description_training_sample_40,v1,politics_title,manual,2026-07-24T14:19:49,2026-07-24T14:36:02,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0008.csv,
run_0009,projects/921222602739/locations/us-central1/batchPredictionJobs/829016657648156672,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,description_training_sample_41,v1,politics_title,manual,2026-07-24T14:34:56,2026-07-24T14:41:56,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0009.csv,
run_0010,projects/921222602739/locations/us-central1/batchPredictionJobs/7904312409735561216,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,description_validation_sample_41,v1,politics_title_desc,manual,2026-07-24T16:05:32,2026-07-27T12:17:20,E:\PyhcarmProjects\youtube_data\outputs\llm\description_classification\run_0010.csv,
run_0011,projects/921222602739/locations/us-central1/batchPredictionJobs/3456774681242107904,downloaded,PROMPT_33,33,v1,gemini-2.5-flash,0,description_training_sample_40,v1,politics_title_desc,manual,2026-07-27T13:17:43,2026-07-27T13:21:59,E:\PyhcarmProjects\youtube_data\outputs\llm\description_classification\run_0011.csv,
run_0012,projects/921222602739/locations/us-central1/batchPredictionJobs/993587160047157248,downloaded,PROMPT_32,32,v1,gemini-2.5-flash,0,politics_screening_round_001_title,v1,politics_title,screening_state,2026-07-27T13:51:00,2026-07-27T14:27:39,E:\PyhcarmProjects\youtube_data\outputs\llm\title_classification\run_0012.csv,
